caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
CyL,Villaquilambre,Pola de Gordón (La),25.731932503224193,0.005751250470564115,True
CyL,Vega de Espinareda,Palacios del Sil,24.666006440123528,0.006042005689238463,True
CyL,Vega de Espinareda,Puente de Domingo Flórez,37.31447265070368,0.0033669149889234114,True
CyL,Gradefes,Villamañán,44.53743801824856,0.0024118631085439093,True
CyL,Gradefes,Villasabariego,18.337602724795236,0.008099151711325856,True
CyL,Gradefes,Pola de Gordón (La),44.29255696961595,0.0024392909238164042,True
CyL,Gradefes,Velilla del Río Carrión,38.350263189076166,0.003209607020639922,True
CyL,Gradefes,Saldaña,41.814945513455854,0.00273497697536197,True
CyL,Villamañán,Villasabariego,27.312607484592466,0.005345732401256745,True
CyL,Villamañán,Valderas,29.476377754637017,0.004836718383517657,True
CyL,Villamañán,Benavente,36.23495068484851,0.003539090713977357,True
CyL,Villasabariego,Pola de Gordón (La),41.422124971948435,0.0027850469211127497,True
CyL,Puente de Domingo Flórez,Puebla de Sanabria,42.94835425653831,0.002595504034179046,True
CyL,Villada,Valderas,43.692500547901915,0.0025078270808843,True
CyL,Villada,Carrión de los Condes,31.59453757039747,0.004385541304341174,True
CyL,Villada,Palencia,44.65116325230533,0.002399230524976664,True
CyL,Villada,Paredes de Nava,24.950830841122063,0.005962898732243294,True
CyL,Villada,Saldaña,35.63830882661576,0.003638007738100329,True
CyL,Valderas,Villabrágima,39.26839403363309,0.0030763338708793826,True
CyL,Valderas,Benavente,20.823760142201674,0.007218121536222508,True
CyL,Valderas,Villalpando,23.825378552199506,0.006281679124318509,True
CyL,Velilla del Río Carrión,Cervera de Pisuerga,28.63862174849482,0.005027757760445335,True
CyL,Velilla del Río Carrión,Saldaña,34.98250725496291,0.003749931972926014,True
CyL,Barruelo de Santullán,Herrera de Pisuerga,35.00051371964514,0.0037468132542753706,True
CyL,Barruelo de Santullán,Cervera de Pisuerga,17.882636253799138,0.008271716153519548,True
CyL,Herrera de Pisuerga,Carrión de los Condes,36.08113797576382,0.003564330464172662,True
