origen,destino,sp_hops,sp_dist_km,sp_skr_bottleneck,sp_path,mqr_hops,mqr_dist_km,mqr_skr_bottleneck,mqr_path,skr_gain,hop_overhead
Adrada (La),Ledesma,6,180.65814689094185,0.0020655516974038318,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Terradillos -> Salamanca -> Ledesma,7,195.54484016504844,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma,1.0549656720231368,1
Adrada (La),Lerma,6,214.86193586741379,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Roa -> Lerma,15,396.07216864640213,0.0020051948577437511,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Carbonero el Mayor -> Nava de la Asunción -> Pedrajas de San Esteban -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Villadiego -> Burgos -> Lerma,1.5655326096946829,9
Adrada (La),Lumbrales,6,213.95943000730904,0.0015401932073182867,Adrada (La) -> Mombeltrán -> Piedrahíta -> Guijuelo -> Alberca (La) -> Ciudad Rodrigo -> Lumbrales,11,306.1850786051308,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Salamanca -> Ledesma -> Bermillo de Sayago -> Fermoselle -> Aldeadávila de la Ribera -> Lumbrales,1.4148134949538498,5
Adrada (La),Melgar de Fernamental,8,267.25855899651776,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Traspinedo -> Venta de Baños -> Torquemada -> Melgar de Fernamental,14,390.74829882218398,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental,1.7012962056018663,6
Adrada (La),Merindad de Río Ubierna,8,281.1342816367852,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Roa -> Lerma -> Burgos -> Merindad de Río Ubierna,16,445.22578196802442,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Villadiego -> Merindad de Río Ubierna,1.7012962056018663,8
Adrada (La),Miranda de Ebro,9,328.70732800028264,0.001280838767155935,Adrada (La) -> Cebreros -> Espinar (El) -> Carbonero el Mayor -> Campaspero -> Roa -> Lerma -> Burgos -> Belorado -> Miranda de Ebro,18,507.28462065431984,0.00210175300199214,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Santovenia de Pisuerga -> Venta de Baños -> Paredes de Nava -> Carrión de los Condes -> Melgar de Fernamental -> Villadiego -> Merindad de Río Ubierna -> Briviesca -> Miranda de Ebro,1.6409192600088309,9
Adrada (La),Mombeltrán,1,32.777200687318718,0.0022566528879488061,Adrada (La) -> Mombeltrán,2,45.050764667551647,0.0024281816759843997,Adrada (La) -> Navaluenga -> Mombeltrán,1.0760102667767861,1
Adrada (La),Mozoncillo,5,160.9656996350144,0.0017816218199113733,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Cantalejo -> Mozoncillo,14,381.05920588752855,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedraja de Portillo (La) -> Traspinedo -> Campaspero -> Roa -> Aranda de Duero -> Mozoncillo,1.2230912925497079,9
Adrada (La),Nava de la Asunción,4,128.05340791581111,0.0015291471773269888,Adrada (La) -> Cebreros -> Espinar (El) -> San Cristóbal de Segovia -> Nava de la Asunción,10,280.43517665276323,0.0021790861345501646,Adrada (La) -> Mombeltrán -> Candeleda -> Barco de Ávila (El) -> Guijuelo -> Terradillos -> Villoria -> Carpio -> Seca (La) -> Pedrajas de San Esteban -> Nava de la Asunción,1.4250336179930669,6
Adrada (La),Navaluenga,1,13.860100088380268,0.0054086385022914015,Adrada (La) -> Navaluenga,1,13.860100088380268,0.0054086385022914015,Adrada (La) -> Navaluenga,1,0
