origen,destino,sp_hops,sp_dist_km,sp_skr_bottleneck,mqr_hops,mqr_dist_km,mqr_skr_bottleneck,skr_gain,hop_overhead
Santa Marina del Rey,Lumbrales,8,299.5,0.0023883323506676685,16,438.9,0.004161695298660283,1.7425109606277633,8
Santa Marina del Rey,Sabero,2,68.1,0.0029953657316153957,4,79.4,0.006136527530112209,2.048673878232155,2
Santa Marina del Rey,Barco de Ávila (El),8,262.9,0.0025322904116681535,14,372.9,0.004009396556266406,1.5833083511243897,6
Santa Marina del Rey,Villalpando,3,84.4,0.004480306159248475,5,116.7,0.0048899279575418024,1.0914271890655876,2
Santa Marina del Rey,Villaralbo,5,150.6,0.003299232938901423,11,297.4,0.004076539336137008,1.2356021571166818,6
Santa Marina del Rey,Ólvega,11,388.0,0.0024590134962611133,18,483.3,0.0030034822654554164,1.2214175603436737,7
Santa Marina del Rey,Ledesma,6,205.2,0.0023883323506676685,12,328.2,0.004161695298660283,1.7425109606277633,6
Santa Marina del Rey,Salas de los Infantes,8,280.1,0.002374969385237565,13,333.6,0.003985783737065429,1.6782463647070283,5
Santa Marina del Rey,Puebla de Sanabria,4,135.1,0.002595504034179046,5,141.7,0.002595504034179046,1.0,1
Santa Marina del Rey,Villadecanes,2,77.1,0.0029181136132047807,4,83.9,0.0041777461710750564,1.431659875122854,2
Santa Marina del Rey,Peñaranda de Bracamonte,6,203.7,0.0026984674059517457,13,343.4,0.004161695298660283,1.542244049152211,7
Santa Marina del Rey,Saldaña,3,95.0,0.00273497697536197,12,288.9,0.004161695298660283,1.5216564293414168,9
Santa Marina del Rey,Candeleda,9,295.8,0.0025322904116681535,15,405.8,0.004009396556266406,1.5833083511243897,6
Santa Marina del Rey,Venta de Baños,5,166.8,0.00273497697536197,9,213.1,0.004161695298660283,1.5216564293414168,4
Santa Marina del Rey,Cubillos del Sil,2,60.5,0.0029181136132047807,3,67.2,0.0041777461710750564,1.431659875122854,1
Santa Marina del Rey,Villaquilambre,1,28.3,0.005107755207200277,2,31.5,0.007617550618031649,1.4913695564919351,1
Santa Marina del Rey,Mozoncillo,8,277.8,0.003029130715313609,12,311.9,0.004107009430085027,1.35583763662699,4
Santa Marina del Rey,Burgos,6,192.4,0.0026574481020583606,14,350.9,0.004161695298660283,1.5660495102187653,8
Santa Marina del Rey,Vitigudino,7,257.2,0.0023883323506676685,16,434.2,0.004161695298660283,1.7425109606277633,9
Santa Marina del Rey,Zaratán,4,132.6,0.0030763338708793826,7,174.5,0.004161695298660283,1.352810024313338,3
Santa Marina del Rey,Arcos de Jalón,12,390.3,0.0026574481020583606,17,449.3,0.003378917933904848,1.2714897165019567,5
Santa Marina del Rey,Miranda de Ebro,8,270.9,0.0026123224996552567,16,412.5,0.003866989995220292,1.4802881327748054,8
Santa Marina del Rey,Aldeadávila de la Ribera,8,271.0,0.0023883323506676685,15,406.4,0.004161695298660283,1.7425109606277633,7
Santa Marina del Rey,Viana de Cega,4,144.3,0.002425433731701029,8,189.4,0.004161695298660283,1.7158561144202287,4
Santa Marina del Rey,Seca (La),5,168.8,0.002650459051621773,8,203.7,0.004161695298660283,1.5701790586479007,3
Santa Marina del Rey,Roa,7,225.6,0.0030763338708793826,10,258.6,0.004161695298660283,1.352810024313338,3
Santa Marina del Rey,Cebreros,8,287.3,0.0023560875035299883,18,483.3,0.004009396556266406,1.701718017798304,10
Santa Marina del Rey,Torquemada,5,179.0,0.0026574481020583606,10,232.2,0.004161695298660283,1.5660495102187653,5
Santa Marina del Rey,Campaspero,6,193.6,0.0030763338708793826,9,226.6,0.004161695298660283,1.352810024313338,3
Santa Marina del Rey,Traspinedo,5,160.2,0.0030763338708793826,8,202.1,0.004161695298660283,1.352810024313338,3
Santa Marina del Rey,Santovenia de la Valdoncina,1,19.7,0.007617550618031649,1,19.7,0.007617550618031649,1.0,0
Santa Marina del Rey,Barruelo de Santullán,5,164.2,0.00273497697536197,7,150.8,0.005027757760445335,1.8383181305502285,2
Santa Marina del Rey,Vega de Espinareda,2,69.3,0.0029181136132047807,3,76.0,0.0041777461710750564,1.431659875122854,1
Santa Marina del Rey,Villoria,6,201.3,0.0026984674059517457,11,292.2,0.004161695298660283,1.542244049152211,5
Santa Marina del Rey,Guijuelo,7,237.4,0.0025322904116681535,13,347.5,0.004009396556266406,1.5833083511243897,6
Santa Marina del Rey,Santovenia de Pisuerga,4,137.8,0.0030763338708793826,8,183.4,0.004161695298660283,1.352810024313338,4
Santa Marina del Rey,Fuentes de Oñoro,9,300.3,0.0023883323506676685,19,518.0,0.004161695298660283,1.7425109606277633,10
Santa Marina del Rey,Burgo de Osma-Ciudad de Osma,9,303.8,0.0026574481020583606,14,362.8,0.003985783737065429,1.4998538387177491,5
Santa Marina del Rey,San Cristóbal de Segovia,7,232.6,0.003029130715313609,12,279.6,0.004161695298660283,1.3738909574357603,5
Santa Marina del Rey,Villada,3,104.3,0.0025078270808843,11,268.7,0.004161695298660283,1.659482557781776,8
Santa Marina del Rey,Lerma,7,227.8,0.0026574481020583606,15,386.3,0.0036891990249717658,1.388248757187111,8
Santa Marina del Rey,Alberca (La),8,280.9,0.0023883323506676685,15,399.6,0.004009396556266406,1.6787431427395616,7
Santa Marina del Rey,Salamanca,6,193.0,0.003299232938901423,11,296.7,0.004161695298660283,1.261412993786987,5
Santa Marina del Rey,Pola de Gordón (La),1,41.0,0.0028451807038198935,3,57.3,0.005751250470564115,2.0214007717831697,2
Santa Marina del Rey,Belorado,7,235.2,0.0026123224996552567,16,396.3,0.004161695298660283,1.5931016554079729,9
Santa Marina del Rey,Valle de Mena,8,257.9,0.0026574481020583606,17,430.8,0.004161695298660283,1.5660495102187653,9
Santa Marina del Rey,Carpio,5,168.4,0.0026984674059517457,9,231.9,0.004161695298660283,1.542244049152211,4
Santa Marina del Rey,Navaluenga,9,318.9,0.0023560875035299883,17,459.2,0.004009396556266406,1.701718017798304,8
Santa Marina del Rey,Nava de la Asunción,6,194.2,0.0030763338708793826,10,236.1,0.004161695298660283,1.352810024313338,4
Lumbrales,Sabero,9,343.5,0.0023883323506676685,20,548.8,0.004161695298660283,1.7425109606277633,11
Lumbrales,Barco de Ávila (El),4,130.1,0.002833277034670717,9,238.5,0.004009396556266406,1.4151092558911655,5
Lumbrales,Villalpando,5,196.8,0.0023883323506676685,13,362.3,0.004161695298660283,1.7425109606277633,8
Lumbrales,Villaralbo,4,117.1,0.0031935321535626914,9,247.9,0.004076539336137008,1.27649860408928,5
