,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Villadecanes,0.05050505050505051,0.13598901098901098,0.019377447948876518,0.001550448370014751,0.8,1
Santovenia de la Valdoncina,0.08080808080808081,0.18574108818011256,0.020988578972544525,0.022751312323223145,0.6785714285714286,1
Villaquilambre,0.08080808080808081,0.18574108818011256,0.021653880181720125,0.022447554564590976,0.6785714285714286,1
Vega de Espinareda,0.05050505050505051,0.13598901098901098,0.019377447948876518,0.001550448370014751,0.8,1
Gradefes,0.08080808080808081,0.1956521739130435,0.11133634562390206,0.023980500551492506,0.5,0
Villamañán,0.09090909090909091,0.20454545454545456,0.16402981313611384,0.027934255521021658,0.4722222222222222,0
Villasabariego,0.07070707070707072,0.18504672897196262,0.011843267098409535,0.020399647233512667,0.7619047619047619,1
Pola de Gordón (La),0.06060606060606061,0.17098445595854922,0.007981849726264735,0.017013837382332447,0.8,1
Palacios del Sil,0.04040404040404041,0.1354309165526676,0.0,0.001471116656243986,1.0,1
Puente de Domingo Flórez,0.04040404040404041,0.12073170731707317,0.03999175427746856,0.0006543693068823111,0.5,0
Villada,0.05050505050505051,0.21428571428571427,0.041142307363576214,0.05050306802866982,0.5,0
Valderas,0.05050505050505051,0.22247191011235956,0.16344090460596905,0.04116917641312783,0.3,0
Velilla del Río Carrión,0.04040404040404041,0.18,0.00926981781746884,0.011823655841971772,0.5,0
Barruelo de Santullán,0.020202020202020204,0.16610738255033558,0.0,0.00418202167426679,1.0,1
Herrera de Pisuerga,0.06060606060606061,0.19760479041916168,0.08027669692917148,0.02007302200143069,0.4,0
Torquemada,0.05050505050505051,0.19959677419354838,0.01915462167945981,0.06772700242659216,0.6,1
Carrión de los Condes,0.07070707070707072,0.2088607594936709,0.04320726621937857,0.059367999089836684,0.5238095238095238,0
Cervera de Pisuerga,0.04040404040404041,0.181651376146789,0.006886476542066051,0.010256748172587324,0.5,0
Venta de Baños,0.06060606060606061,0.21615720524017468,0.0343767884592348,0.17787041202498735,0.5333333333333333,0
Palencia,0.07070707070707072,0.21710526315789475,0.060279066741543874,0.15216570619871256,0.47619047619047616,0
Paredes de Nava,0.06060606060606061,0.2032854209445585,0.020243775672497515,0.07527366343895507,0.6,1
Saldaña,0.08080808080808081,0.20842105263157895,0.1418173331982371,0.03830574752588447,0.32142857142857145,0
Terradillos,0.05050505050505051,0.19111969111969113,0.09032534531186184,0.02244799490757314,0.6,1
Alberca (La),0.04040404040404041,0.14887218045112782,0.017624381457650457,0.001024456871759883,0.3333333333333333,0
Aldeadávila de la Ribera,0.030303030303030304,0.13655172413793104,0.00041056826771112485,0.0008578940873303173,0.6666666666666666,1
Salamanca,0.05050505050505051,0.19038461538461537,0.015646061933699065,0.023433083821832186,0.7,1
Béjar,0.04040404040404041,0.14887218045112782,0.006886323081892218,0.00088639423738867,0.6666666666666666,1
Villoria,0.05050505050505051,0.19298245614035087,0.003848415802978825,0.03381191827245713,0.8,1
Ciudad Rodrigo,0.04040404040404041,0.14042553191489363,0.010425500800290212,0.0006151604132666921,0.5,0
Fuente de San Esteban (La),0.05050505050505051,0.15890850722311398,0.046767120406235534,0.0023222037698970768,0.4,0
Fuentes de Oñoro,0.020202020202020204,0.12390488110137672,0.0,0.00020964283801386765,1.0,1
Guijuelo,0.05050505050505051,0.1689419795221843,0.083243185377652,0.003606436425626287,0.4,0
