,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient,Cluster
Pedrajas de San Esteban,0.012644889357218123,0.09781488352916924,0.07059475292800887,7.210607776333609e-07,0.5303030303030303,0
Serrada,0.01053740779768177,0.09272105520273571,0.0021614964261790727,1.1345067365818078e-07,0.6222222222222222,0
Mayorga,0.008429926238145416,0.0881724426275202,0.08282887476971842,1.3560734154651994e-09,0.4642857142857143,2
Villabrágima,0.008429926238145416,0.0919662758019188,0.11226107609981978,1.7712433615656434e-08,0.35714285714285715,2
Rueda,0.012644889357218123,0.0944654588891101,0.009171477597607367,2.042449836874229e-07,0.5,2
Traspinedo,0.01053740779768177,0.09309397684912694,0.00497113733892087,1.3851017306592932e-07,0.6222222222222222,0
Villalón de Campos,0.008429926238145416,0.08921688445990411,0.01904530912429107,2.2374377204846235e-09,0.5,2
Trabazos,0.001053740779768177,0.05890385450934144,0.0,2.3165879181847488e-14,0.0,2
Benavente,0.006322444678609061,0.08453589880634242,0.019891937034239797,2.8615960508424165e-10,0.4666666666666667,2
Bermillo de Sayago,0.004214963119072708,0.08180329281958452,0.0004675888803757921,9.873107134856895e-10,0.5,2
Villaralbo,0.005268703898840885,0.08688884819630105,0.0008680947368761917,6.742179468445783e-09,0.7,1
Corrales,0.0073761854583772385,0.08706422018348624,0.004785192364028361,7.646332565060182e-09,0.5238095238095238,0
Fermoselle,0.004214963119072708,0.08054659650314039,0.0007141118402562887,2.922286042581788e-10,0.5,2
Fuentesaúco,0.012644889357218123,0.09272105520273571,0.0827581440333074,4.1687784384120256e-08,0.45454545454545453,2
Puebla de Sanabria,0.004214963119072708,0.06258655938798391,0.0021074815595363543,3.128046534982627e-13,0.5,2
Toro,0.008429926238145416,0.09226132607427572,0.08818733558735521,2.4889902680186133e-08,0.39285714285714285,2
Santibáñez de Vidriales,0.0031612223393045306,0.07930141221692989,0.002992324595427836,1.870772836606833e-11,0.6666666666666666,1
Villalpando,0.006322444678609061,0.09008068343616517,0.05347617785105028,2.492686245897818e-09,0.6,0
