red,modo,f,k_nodos,C_fault_rel_mean,C_fault_rel_std,C_removal_rel_mean,C_removal_rel_std,frac_pares_cero_mean,ratio_fallo_eliminacion
espana,M1_d0.9,0.3,285,0.24370202713698869,0.08428697663282778,0.060823572224194634,0.153501217911394,0.0,0.8052778482250731
espana,M2_k1e3,0.3,285,0.6767464640822465,0.05346434665256822,0.060823572224194634,0.153501217911394,0.0029249999999999996,0.34418829770173776
espana,M2_k1e4,0.3,285,0.060823572224194634,0.153501217911394,0.060823572224194634,0.153501217911394,0.52058,1.0
adif,M1_d0.9,0.01,5,0.9790685177331149,0.07967104916176057,0.888529382946439,0.17052942647328784,0.00035999999999999997,0.18777578181726284
adif,M2_k1e3,0.01,5,0.9609029089772669,0.10949476833223955,0.888529382946439,0.17052942647328784,0.00576,0.35073898446213086
adif,M2_k1e4,0.01,5,0.888529382946439,0.17052942647328784,0.888529382946439,0.17052942647328784,0.03185,1.0
adif,M1_d0.9,0.02,10,0.9476527751269418,0.12015486251652281,0.7436731726068865,0.19031104524508724,0.00072,0.20422062491639362
adif,M2_k1e3,0.02,10,0.8985597635666822,0.1622827921370778,0.7436731726068865,0.19031104524508724,0.012960000000000001,0.39574568711742686
adif,M2_k1e4,0.02,10,0.7436731726068865,0.19031104524508724,0.7436731726068865,0.19031104524508724,0.07153000000000001,1.0
adif,M1_d0.9,0.05,24,0.8541771164661328,0.18796531038828415,0.49341462527242236,0.12748466034713027,0.0016199999999999997,0.28785450747030583
adif,M2_k1e3,0.05,24,0.7696763268609597,0.20920965185433013,0.49341462527242236,0.12748466034713027,0.04155,0.45465914459709705
adif,M2_k1e4,0.05,24,0.49341462527242236,0.12748466034713027,0.49341462527242236,0.12748466034713027,0.18385,1.0
adif,M1_d0.9,0.1,49,0.6758816211084607,0.17191683916431424,0.19932255329947818,0.217355309162298,0.00448,0.4048051811964795
adif,M2_k1e3,0.1,49,0.5327533183614812,0.1537206767265487,0.19932255329947818,0.217355309162298,0.13383,0.5835641850085526
adif,M2_k1e4,0.1,49,0.19932255329947818,0.217355309162298,0.19932255329947818,0.217355309162298,0.49799,1.0
adif,M1_d0.9,0.15,73,0.617629549271994,0.1423429198511834,0.010034087858437075,0.048318389217931336,0.005770000000000001,0.38624607780770526
adif,M2_k1e3,0.15,73,0.37981134678081024,0.20235058618395044,0.010034087858437075,0.048318389217931336,0.27731,0.6264747559616014
adif,M2_k1e4,0.15,73,0.010034087858437075,0.048318389217931336,0.010034087858437075,0.048318389217931336,0.7314200000000001,1.0
adif,M1_d0.9,0.2,97,0.5371852047529808,0.1580350357269873,0.0,0.0,0.007850000000000001,0.4628147952470192
adif,M2_k1e3,0.2,97,0.2010900930108563,0.21133461991712546,0.0,0.0,0.45188,0.7989099069891437
adif,M2_k1e4,0.2,97,0.0,0.0,0.0,0.0,0.8626299999999999,1.0
adif,M1_d0.9,0.3,146,0.4215479003316066,0.1458667014826099,0.0,0.0,0.010189999999999998,0.5784520996683934
adif,M2_k1e3,0.3,146,0.019385640735167978,0.08891065863939741,0.0,0.0,0.7362299999999999,0.980614359264832
adif,M2_k1e4,0.3,146,0.0,0.0,0.0,0.0,0.9656299999999999,1.0
