red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
adif,degree_static,0.37,0.026804123711340205,,0.0,,2.096714734473169e-05,,
adif,degree_static,0.38,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.39,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.4,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.41,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.42,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.43,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.44,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.45,0.026804123711340205,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.46,0.020618556701030927,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.47,0.018556701030927835,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.48,0.018556701030927835,,0.0,,1.6602947888817464e-05,,
adif,degree_static,0.49,0.018556701030927835,,0.0,,1.6585689061223253e-05,,
adif,degree_static,0.5,0.01443298969072165,,0.0,,1.6553783659296298e-05,,
adif,degree_adaptive,0.0,1.0,,3.657112903257548e-05,,0.0003504881883480674,,
adif,degree_adaptive,0.01,0.9855670103092784,,3.657112903257548e-05,,0.0003163684099312678,,
adif,degree_adaptive,0.02,0.9711340206185567,,2.234380702984928e-05,,0.00029521890110180654,,
adif,degree_adaptive,0.03,0.7154639175257732,,1.19753881600943e-05,,0.00027867658281873007,,
adif,degree_adaptive,0.04,0.711340206185567,,6.29997173682947e-06,,0.0002404664331363064,,
adif,degree_adaptive,0.05,0.6268041237113402,,0.0,,0.00023744057312944956,,
adif,degree_adaptive,0.06,0.4144329896907217,,0.0,,0.00020430008118578184,,
adif,degree_adaptive,0.07,0.27010309278350514,,0.0,,0.00019670154028033187,,
adif,degree_adaptive,0.08,0.2639175257731959,,0.0,,0.00015133955273560575,,
adif,degree_adaptive,0.09,0.19381443298969073,,0.0,,0.0001288209846523879,,
adif,degree_adaptive,0.1,0.1670103092783505,,0.0,,0.00012804389863783599,,
adif,degree_adaptive,0.11,0.1670103092783505,,0.0,,0.00012733917070945568,,
adif,degree_adaptive,0.12,0.1134020618556701,,0.0,,0.00012399696116078743,,
adif,degree_adaptive,0.13,0.10927835051546392,,0.0,,0.00010445239729201338,,
adif,degree_adaptive,0.14,0.10927835051546392,,0.0,,0.00010445239729201338,,
adif,degree_adaptive,0.15,0.10927835051546392,,0.0,,0.00010442462671280198,,
adif,degree_adaptive,0.16,0.10721649484536082,,0.0,,9.705320252372005e-05,,
adif,degree_adaptive,0.17,0.09896907216494845,,0.0,,9.68337757495246e-05,,
adif,degree_adaptive,0.18,0.09896907216494845,,0.0,,8.980531334616573e-05,,
adif,degree_adaptive,0.19,0.09896907216494845,,0.0,,8.945220209099091e-05,,
adif,degree_adaptive,0.2,0.09896907216494845,,0.0,,8.20768148588847e-05,,
adif,degree_adaptive,0.21,0.05979381443298969,,0.0,,6.480441967286727e-05,,
adif,degree_adaptive,0.22,0.05979381443298969,,0.0,,5.691298705386648e-05,,
adif,degree_adaptive,0.23,0.05979381443298969,,0.0,,5.691298705386648e-05,,
adif,degree_adaptive,0.24,0.03505154639175258,,0.0,,5.0361270567309966e-05,,
adif,degree_adaptive,0.25,0.03505154639175258,,0.0,,4.1036501827323373e-05,,
adif,degree_adaptive,0.26,0.018556701030927835,,0.0,,4.030592874325754e-05,,
adif,degree_adaptive,0.27,0.018556701030927835,,0.0,,3.3842164739195733e-05,,
adif,degree_adaptive,0.28,0.018556701030927835,,0.0,,3.3842164739195733e-05,,
adif,degree_adaptive,0.29,0.018556701030927835,,0.0,,3.3842164739195733e-05,,
adif,degree_adaptive,0.3,0.018556701030927835,,0.0,,1.6678797138125506e-05,,
adif,degree_adaptive,0.31,0.018556701030927835,,0.0,,1.6678797138125506e-05,,
adif,degree_adaptive,0.32,0.018556701030927835,,0.0,,1.6678797138125506e-05,,
adif,degree_adaptive,0.33,0.018556701030927835,,0.0,,1.6678797138125506e-05,,
adif,degree_adaptive,0.34,0.018556701030927835,,0.0,,1.6678797138125506e-05,,
adif,degree_adaptive,0.35,0.012371134020618556,,0.0,,1.664689173619855e-05,,
adif,degree_adaptive,0.36,0.012371134020618556,,0.0,,1.664689173619855e-05,,
adif,degree_adaptive,0.37,0.012371134020618556,,0.0,,1.664689173619855e-05,,
adif,degree_adaptive,0.38,0.010309278350515464,,0.0,,6.556872080964053e-06,,
adif,degree_adaptive,0.39,0.008247422680412371,,0.0,,6.556872080964053e-06,,
adif,degree_adaptive,0.4,0.004123711340206186,,0.0,,6.556872080964053e-06,,
adif,degree_adaptive,0.41,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.42,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.43,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.44,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.45,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.46,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.47,0.004123711340206186,,0.0,,0.0,,
adif,degree_adaptive,0.48,0.004123711340206186,,0.0,,0.0,,
