red,protocolo,p,S_mean,S_std,C_median_mean,C_median_std
espana,degree_adaptive,0.0,0.9999789473684211,0.00014736842105263825,0.00801691275398396,8.923958102487297e-05
espana,degree_adaptive,0.01,0.9894526315789475,0.00014736842105262272,,
espana,degree_adaptive,0.02,0.9799789473684212,0.00014736842105262272,,
espana,degree_adaptive,0.03,0.9694526315789475,0.00014736842105262272,,
espana,degree_adaptive,0.04,0.9599789473684212,0.00014736842105262272,,
espana,degree_adaptive,0.05,0.9494526315789474,0.00014736842105263825,0.007589594484416668,9.968238109477406e-05
espana,degree_adaptive,0.06,0.9399789473684208,0.00014736842105262272,,
espana,degree_adaptive,0.07,0.9294526315789474,0.00014736842105263825,,
espana,degree_adaptive,0.08,0.9199578947368423,0.00020627282044490854,,
espana,degree_adaptive,0.09,0.9094315789473684,0.00020627282044490854,,
espana,degree_adaptive,0.1,0.8999578947368421,0.00020627282044490854,0.007118134458143376,0.00011741279361012057
espana,degree_adaptive,0.11,0.8894315789473686,0.00020627282044488683,,
espana,degree_adaptive,0.12,0.8799368421052632,0.0002499861492008096,,
espana,degree_adaptive,0.13,0.8693684210526317,0.0003795317132067246,,
espana,degree_adaptive,0.14,0.8598736842105263,0.0004016586111229112,,
espana,degree_adaptive,0.15,0.8493473684210526,0.0004016586111229112,0.006551311077446323,0.00017281548332213683
espana,degree_adaptive,0.16,0.8398526315789474,0.0004215786188315804,,
espana,degree_adaptive,0.17,0.829284210526316,0.0004559243753201831,,
espana,degree_adaptive,0.18,0.8197894736842105,0.0004707511531578311,,
espana,degree_adaptive,0.19,0.8091789473684209,0.000517398135892416,,
espana,degree_adaptive,0.2,0.7997052631578946,0.0005173981358924238,0.005793885294487096,0.00022532074881691377
espana,degree_adaptive,0.21,0.7891368421052632,0.0005342558964399966,,
espana,degree_adaptive,0.22,0.7796421052631579,0.0005412614792498044,,
espana,degree_adaptive,0.23,0.769094736842105,0.0005473684210526494,,
espana,degree_adaptive,0.24,0.7595578947368421,0.0005987984275085576,,
espana,degree_adaptive,0.25,0.7489473684210527,0.0006402907926629484,0.00472940693450178,0.0004167240658054755
espana,degree_adaptive,0.26,0.7393894736842107,0.0007010874023303694,,
espana,degree_adaptive,0.27,0.7288210526315789,0.000725934301034369,,
espana,degree_adaptive,0.28,0.7191157894736844,0.000851526249101317,,
espana,degree_adaptive,0.29,0.7084421052631578,0.0008804431017400917,,
espana,degree_adaptive,0.3,0.6988421052631578,0.0010786263964167836,0.0014291890344736683,0.0016558254222528896
espana,degree_adaptive,0.31,0.6881894736842105,0.0011586600341740646,,
espana,degree_adaptive,0.32,0.6785473684210526,0.0011888680339785852,,
espana,degree_adaptive,0.33,0.6678526315789475,0.0011948179893610717,,
espana,degree_adaptive,0.34,0.6580631578947369,0.0013539313844895715,,
espana,degree_adaptive,0.35,0.6472421052631578,0.00146826069677159,0.0,0.0
espana,degree_adaptive,0.36,0.6375157894736843,0.0015999999999999942,,
espana,degree_adaptive,0.37,0.6265052631578947,0.0017192409585873195,,
espana,degree_adaptive,0.38,0.6165052631578947,0.0017669166533353427,,
espana,degree_adaptive,0.39,0.6054947368421053,0.0018023069242799699,,
espana,degree_adaptive,0.4,0.5952631578947368,0.002149534511227594,0.0,0.0
espana,degree_adaptive,0.41,0.5839578947368422,0.0022236203665702494,,
espana,degree_adaptive,0.42,0.5736842105263158,0.0023157894736842177,,
espana,degree_adaptive,0.43,0.5621052631578948,0.002473124236730677,,
espana,degree_adaptive,0.44,0.5514526315789473,0.002433742487009425,,
espana,degree_adaptive,0.45,0.5390315789473684,0.0029159224746409733,0.0,0.0
espana,degree_adaptive,0.46,0.5278947368421053,0.0034609015205839216,,
espana,degree_adaptive,0.47,0.5150736842105264,0.003844282007751856,,
espana,degree_adaptive,0.48,0.5029894736842105,0.004122017094912138,,
espana,degree_adaptive,0.49,0.4887157894736842,0.0042474173348778085,,
espana,degree_adaptive,0.5,0.4745263157894737,0.00472161294568543,0.0,0.0
espana,betweenness_adaptive,0.0,0.9999789473684211,0.00014736842105263825,0.00801691275398396,8.923958102487297e-05
espana,betweenness_adaptive,0.01,0.9894526315789475,0.00014736842105262272,,
espana,betweenness_adaptive,0.02,0.9799789473684212,0.00014736842105262272,,
espana,betweenness_adaptive,0.03,0.9694315789473684,0.00020627282044488677,,
espana,betweenness_adaptive,0.04,0.9599368421052631,0.00024998614920078324,,
espana,betweenness_adaptive,0.05,0.9494105263157894,0.0002499861492008096,0.007581024862294907,0.00010335083465229039
espana,betweenness_adaptive,0.06,0.9398947368421051,0.00031578947368419156,,
espana,betweenness_adaptive,0.07,0.9293473684210527,0.0003420647749320559,,
espana,betweenness_adaptive,0.08,0.9198315789473684,0.00038590111115419345,,
espana,betweenness_adaptive,0.09,0.9093052631578948,0.00038590111115419345,,
espana,betweenness_adaptive,0.1,0.8998315789473685,0.00038590111115419345,0.00711096337380872,0.00012124237536072354
espana,betweenness_adaptive,0.11,0.889242105263158,0.0004842105263157689,,
espana,betweenness_adaptive,0.12,0.8797052631578949,0.000517398135892416,,
espana,betweenness_adaptive,0.13,0.8691157894736843,0.0005807627041740299,,
espana,betweenness_adaptive,0.14,0.859642105263158,0.0005807627041740299,,
espana,betweenness_adaptive,0.15,0.8490526315789475,0.0007292845505552966,0.0065575040199385955,0.00016927795710546158
espana,betweenness_adaptive,0.16,0.8394947368421054,0.000794440516383696,,
espana,betweenness_adaptive,0.17,0.8288842105263159,0.0007922057988306299,,
espana,betweenness_adaptive,0.18,0.8193263157894737,0.0008357656101591075,,
espana,betweenness_adaptive,0.19,0.8087578947368419,0.0008272371665005732,,
espana,betweenness_adaptive,0.2,0.799178947368421,0.0008753946478438926,0.005795717682983812,0.00021391112445184245
espana,betweenness_adaptive,0.21,0.7885263157894736,0.0009704783639255723,,
espana,betweenness_adaptive,0.22,0.7789894736842107,0.0010305042737280398,,
espana,betweenness_adaptive,0.23,0.768357894736842,0.0011417049989857918,,
espana,betweenness_adaptive,0.24,0.7587999999999998,0.0011723499614590199,,
espana,betweenness_adaptive,0.25,0.7482315789473685,0.0011662853881654253,0.004696846348991125,0.00043399580747323233
espana,betweenness_adaptive,0.26,0.7386526315789474,0.0012101143463747377,,
espana,betweenness_adaptive,0.27,0.7280210526315788,0.0011888680339785505,,
espana,betweenness_adaptive,0.28,0.718378947368421,0.0013514740080592773,,
espana,betweenness_adaptive,0.29,0.7077052631578948,0.0015099301959613667,,
espana,betweenness_adaptive,0.3,0.6981052631578948,0.0015470461533367388,0.001264739219465974,0.0016660952792619704
espana,betweenness_adaptive,0.31,0.6873894736842106,0.0016774865778409664,,
espana,betweenness_adaptive,0.32,0.6777052631578948,0.0017700493756513682,,
espana,betweenness_adaptive,0.33,0.6670105263157893,0.001806237269793819,,
espana,betweenness_adaptive,0.34,0.6572842105263157,0.0018243049752328486,,
espana,betweenness_adaptive,0.35,0.6466315789473684,0.0018859445123335546,0.0,0.0
espana,betweenness_adaptive,0.36,0.6368421052631579,0.0022674378135303206,,
espana,betweenness_adaptive,0.37,0.6260631578947369,0.00230196832553039,,
espana,betweenness_adaptive,0.38,0.6162315789473684,0.002391953269445967,,
espana,betweenness_adaptive,0.39,0.6049052631578946,0.002805692669794886,,
espana,betweenness_adaptive,0.4,0.5948631578947368,0.003069932822494009,0.0,0.0
espana,betweenness_adaptive,0.41,0.5839157894736843,0.00318611947998191,,
espana,betweenness_adaptive,0.42,0.5733684210526315,0.004158893950555451,,
espana,betweenness_adaptive,0.43,0.561557894736842,0.004703932462250957,,
espana,betweenness_adaptive,0.44,0.5507368421052632,0.005165408061635915,,
espana,betweenness_adaptive,0.45,0.5380631578947369,0.0065207446509830585,0.0,0.0
espana,betweenness_adaptive,0.46,0.5269473684210527,0.007930445558668368,,
espana,betweenness_adaptive,0.47,0.5143578947368421,0.008594941500125627,,
espana,betweenness_adaptive,0.48,0.5005894736842107,0.011483163636011316,,
espana,betweenness_adaptive,0.49,0.4859578947368421,0.013096039874244876,,
espana,betweenness_adaptive,0.5,0.4707157894736842,0.015982941044505327,0.0,0.0
adif,degree_adaptive,0.0,0.9091958762886597,0.012274259881051503,0.01111859433467468,0.00125406077848209
adif,degree_adaptive,0.01,0.8879587628865981,0.013238397985008627,,
adif,degree_adaptive,0.02,0.8688659793814434,0.013800577757263097,,
adif,degree_adaptive,0.03,0.8455670103092783,0.014487379109765915,,
adif,degree_adaptive,0.04,0.8261855670103092,0.01646517950866386,,
adif,degree_adaptive,0.05,0.8017319587628866,0.018817683662127684,0.0015253510192168856,0.0011561997958563096
adif,degree_adaptive,0.06,0.7756701030927835,0.021228103383478355,,
adif,degree_adaptive,0.07,0.7455670103092784,0.021617059665288506,,
adif,degree_adaptive,0.08,0.7128247422680413,0.023530606585356943,,
adif,degree_adaptive,0.09,0.6768659793814432,0.022616742871948373,,
adif,degree_adaptive,0.1,0.6341030927835052,0.02525654531191016,0.0,0.0
