red,protocolo,p,S,S_std,C_median,C_median_std,C_mean,C_ci_low,C_ci_high
espana,degree_static,0.36,0.6389473684210526,,0.0,,0.0009317992747102589,,
espana,degree_static,0.37,0.6231578947368421,,0.0,,0.000865127359653231,,
espana,degree_static,0.38,0.6136842105263158,,0.0,,0.0008284895972561028,,
espana,degree_static,0.39,0.6031578947368421,,0.0,,0.0007911981598628714,,
espana,degree_static,0.4,0.5936842105263158,,0.0,,0.0007615613189556927,,
espana,degree_static,0.41,0.5821052631578948,,0.0,,0.0007192744332553718,,
espana,degree_static,0.42,0.5642105263157895,,0.0,,0.0006632369468704935,,
espana,degree_static,0.43,0.5515789473684211,,0.0,,0.0006188297704898529,,
espana,degree_static,0.44,0.5431578947368421,,0.0,,0.0005935083896017266,,
espana,degree_static,0.45,0.5326315789473685,,0.0,,0.0005680015449513156,,
espana,degree_static,0.46,0.5136842105263157,,0.0,,0.0005379303525204646,,
espana,degree_static,0.47,0.48105263157894734,,0.0,,0.00047380811525831433,,
espana,degree_static,0.48,0.4694736842105263,,0.0,,0.00045086565621155363,,
espana,degree_static,0.49,0.4557894736842105,,0.0,,0.0004256335895933527,,
espana,degree_static,0.5,0.4473684210526316,,0.0,,0.00040582940513518193,,
espana,degree_adaptive,0.0,1.0,,0.003268838563848,,0.0031319790183950828,,
espana,degree_adaptive,0.01,0.9894736842105263,,0.0032496250109036,,0.0030655216466379,,
espana,degree_adaptive,0.02,0.98,,0.0031716637008243,,0.0029951681226697132,,
espana,degree_adaptive,0.03,0.9694736842105263,,0.0031716637008243,,0.002910993070138444,,
espana,degree_adaptive,0.04,0.96,,0.0031295715171653,,0.002860040478644601,,
espana,degree_adaptive,0.05,0.9494736842105264,,0.0031092467624572,,0.0028014797784987806,,
espana,degree_adaptive,0.06,0.94,,0.0029998911586706,,0.00270087138935948,,
espana,degree_adaptive,0.07,0.9294736842105263,,0.0029998911586706,,0.002645187212696755,,
espana,degree_adaptive,0.08,0.92,,0.0029445837578499,,0.0025739424066690284,,
espana,degree_adaptive,0.09,0.9094736842105263,,0.0028823044517257,,0.002484513581046534,,
espana,degree_adaptive,0.1,0.9,,0.0028823044517257,,0.002450711204584491,,
espana,degree_adaptive,0.11,0.8894736842105263,,0.0027319010912908,,0.002360037270821514,,
espana,degree_adaptive,0.12,0.88,,0.0027319010912908,,0.0022808062637406992,,
espana,degree_adaptive,0.13,0.8694736842105263,,0.0027319010912908,,0.002186283776161077,,
espana,degree_adaptive,0.14,0.86,,0.0027319010912908,,0.002120783455271578,,
espana,degree_adaptive,0.15,0.8494736842105263,,0.0025989835593402,,0.0020523873984989996,,
espana,degree_adaptive,0.16,0.84,,0.0025989835593402,,0.001970564397180098,,
espana,degree_adaptive,0.17,0.8294736842105264,,0.0025989835593402,,0.001884848593586296,,
espana,degree_adaptive,0.18,0.82,,0.0025989835593402,,0.0018125901311848527,,
espana,degree_adaptive,0.19,0.8094736842105263,,0.0025641349154348,,0.0017458932410505943,,
espana,degree_adaptive,0.2,0.8,,0.0024599863150138,,0.0016758110186710655,,
espana,degree_adaptive,0.21,0.7894736842105263,,0.0024599863150138,,0.0016300632830700825,,
espana,degree_adaptive,0.22,0.78,,0.0024599863150138,,0.0015678804937941048,,
espana,degree_adaptive,0.23,0.7694736842105263,,0.0022935274483338,,0.00146351241141279,,
espana,degree_adaptive,0.24,0.76,,0.0022935274483338,,0.001419086880275091,,
espana,degree_adaptive,0.25,0.7494736842105263,,0.0021662637949031,,0.0013607145245210874,,
espana,degree_adaptive,0.26,0.74,,0.0017986519319512,,0.0012817032641752393,,
espana,degree_adaptive,0.27,0.7294736842105263,,0.0017986519319512,,0.001244361909758206,,
espana,degree_adaptive,0.28,0.72,,0.0017986519319512,,0.0012017702726480723,,
espana,degree_adaptive,0.29,0.7094736842105264,,0.0014988581726079,,0.0011552910774962166,,
espana,degree_adaptive,0.3,0.7,,0.0,,0.001119778674317552,,
espana,degree_adaptive,0.31,0.6894736842105263,,0.0,,0.0010883140269779413,,
espana,degree_adaptive,0.32,0.68,,0.0,,0.0010582436067094391,,
espana,degree_adaptive,0.33,0.6694736842105263,,0.0,,0.0010049253032554648,,
espana,degree_adaptive,0.34,0.66,,0.0,,0.0009671239410280807,,
espana,degree_adaptive,0.35,0.6494736842105263,,0.0,,0.0009269533114794114,,
espana,degree_adaptive,0.36,0.64,,0.0,,0.0009024733786213292,,
espana,degree_adaptive,0.37,0.6294736842105263,,0.0,,0.0008713681721974511,,
espana,degree_adaptive,0.38,0.62,,0.0,,0.0008310236201523453,,
espana,degree_adaptive,0.39,0.6094736842105263,,0.0,,0.0007806142992435958,,
espana,degree_adaptive,0.4,0.6,,0.0,,0.0007343490294888955,,
espana,degree_adaptive,0.41,0.5894736842105263,,0.0,,0.0006853584885127209,,
espana,degree_adaptive,0.42,0.58,,0.0,,0.0006596816238986954,,
espana,degree_adaptive,0.43,0.5694736842105264,,0.0,,0.0006100307363092292,,
espana,degree_adaptive,0.44,0.56,,0.0,,0.0005741706234650564,,
espana,degree_adaptive,0.45,0.5431578947368421,,0.0,,0.0005190324894393555,,
espana,degree_adaptive,0.46,0.5336842105263158,,0.0,,0.0004896389393694645,,
espana,degree_adaptive,0.47,0.5231578947368422,,0.0,,0.00046207822876104054,,
espana,degree_adaptive,0.48,0.5094736842105263,,0.0,,0.0004386251351834853,,
espana,degree_adaptive,0.49,0.48947368421052634,,0.0,,0.0003919487860199444,,
espana,degree_adaptive,0.5,0.46421052631578946,,0.0,,0.0003524863709297238,,
espana,betweenness_static,0.0,1.0,,0.003268838563848,,0.0031319790183950828,,
espana,betweenness_static,0.01,0.9894736842105263,,0.0029998911586706,,0.002994745402074813,,
espana,betweenness_static,0.02,0.98,,0.0028580860537324,,0.002813715844392574,,
espana,betweenness_static,0.03,0.9694736842105263,,0.0026470184660454,,0.0026510044752732025,,
espana,betweenness_static,0.04,0.96,,0.0026470184660454,,0.0025840575381490226,,
espana,betweenness_static,0.05,0.9494736842105264,,0.0026470184660454,,0.0025196870584299875,,
espana,betweenness_static,0.06,0.94,,0.0026470184660454,,0.002465198504963362,,
espana,betweenness_static,0.07,0.9284210526315789,,0.0026470184660454,,0.0024178604297632805,,
espana,betweenness_static,0.08,0.9189473684210526,,0.0023972510286816,,0.0022751685340011625,,
espana,betweenness_static,0.09,0.9084210526315789,,0.0023972510286816,,0.0022134622064659726,,
espana,betweenness_static,0.1,0.8989473684210526,,0.0023972510286816,,0.0021580206890467776,,
espana,betweenness_static,0.11,0.888421052631579,,0.0023972510286816,,0.002093162998394738,,
espana,betweenness_static,0.12,0.8789473684210526,,0.0023972510286816,,0.00204551012050855,,
espana,betweenness_static,0.13,0.868421052631579,,0.0023972510286816,,0.0019738835145892406,,
espana,betweenness_static,0.14,0.8589473684210527,,0.0023804535091145997,,0.0019177772436269284,,
espana,betweenness_static,0.15,0.848421052631579,,0.0023123594710518,,0.0018623423789477353,,
espana,betweenness_static,0.16,0.8389473684210527,,0.0023123594710518,,0.001810292414425974,,
espana,betweenness_static,0.17,0.828421052631579,,0.0017381426669717,,0.0015975245984722526,,
espana,betweenness_static,0.18,0.8168421052631579,,0.0014928597142404,,0.0014484977197359219,,
espana,betweenness_static,0.19,0.8063157894736842,,0.0014928597142404,,0.0014214557262651752,,
espana,betweenness_static,0.2,0.7968421052631579,,0.0014928597142404,,0.0013860844317931723,,
espana,betweenness_static,0.21,0.7747368421052632,,0.0013904216855621,,0.001303748977171248,,
espana,betweenness_static,0.22,0.7673684210526316,,0.0013904216855621,,0.0012705906818279262,,
espana,betweenness_static,0.23,0.7568421052631579,,0.0013904216855621,,0.0012275617257725326,,
espana,betweenness_static,0.24,0.7473684210526316,,0.0013904216855621,,0.0011855357061184995,,
espana,betweenness_static,0.25,0.7357894736842105,,0.0013904216855621,,0.0011403762356317552,,
espana,betweenness_static,0.26,0.7252631578947368,,0.0013904216855621,,0.00111378308983967,,
espana,betweenness_static,0.27,0.7126315789473684,,0.0013904216855621,,0.0010622205796957278,,
espana,betweenness_static,0.28,0.7031578947368421,,0.0,,0.0010306361594586211,,
espana,betweenness_static,0.29,0.6863157894736842,,0.0,,0.0009786663203429828,,
espana,betweenness_static,0.3,0.6652631578947369,,0.0,,0.0009310900232496259,,
espana,betweenness_static,0.31,0.6557894736842105,,0.0,,0.000902647441890367,,
espana,betweenness_static,0.32,0.6484210526315789,,0.0,,0.0008794748154280163,,
espana,betweenness_static,0.33,0.64,,0.0,,0.0008137603809509358,,
espana,betweenness_static,0.34,0.6305263157894737,,0.0,,0.0007940000455208026,,
espana,betweenness_static,0.35,0.6178947368421053,,0.0,,0.0007629164949406182,,
espana,betweenness_static,0.36,0.6052631578947368,,0.0,,0.0007324157942241513,,
espana,betweenness_static,0.37,0.5947368421052631,,0.0,,0.0006989000423583935,,
espana,betweenness_static,0.38,0.4284210526315789,,0.0,,0.0004798264316468711,,
espana,betweenness_static,0.39,0.37894736842105264,,0.0,,0.0004122168646250155,,
espana,betweenness_static,0.4,0.37684210526315787,,0.0,,0.0004093621017666096,,
espana,betweenness_static,0.41,0.36736842105263157,,0.0,,0.00037651472436840596,,
espana,betweenness_static,0.42,0.36210526315789476,,0.0,,0.0003582685805753837,,
espana,betweenness_static,0.43,0.3568421052631579,,0.0,,0.00034726026845539887,,
espana,betweenness_static,0.44,0.35368421052631577,,0.0,,0.0003291903565806775,,
espana,betweenness_static,0.45,0.3410526315789474,,0.0,,0.00028430309377292857,,
espana,betweenness_static,0.46,0.33263157894736844,,0.0,,0.0002677142682864852,,
espana,betweenness_static,0.47,0.2894736842105263,,0.0,,0.0002260214632623946,,
espana,betweenness_static,0.48,0.20210526315789473,,0.0,,0.00017154120547886015,,
espana,betweenness_static,0.49,0.19789473684210526,,0.0,,0.00016516059954280082,,
espana,betweenness_static,0.5,0.19052631578947368,,0.0,,0.0001605317430507272,,
espana,betweenness_adaptive,0.0,1.0,,0.003268838563848,,0.0031319790183950828,,
espana,betweenness_adaptive,0.01,0.8894736842105263,,0.0025989835593402,,0.0023435471311822297,,
espana,betweenness_adaptive,0.02,0.8789473684210526,,0.0025989835593402,,0.002286829054366292,,
espana,betweenness_adaptive,0.03,0.6368421052631579,,0.0,,0.001445147569851324,,
espana,betweenness_adaptive,0.04,0.6273684210526316,,0.0,,0.0012675393181150944,,
espana,betweenness_adaptive,0.05,0.3894736842105263,,0.0,,0.000896021899725492,,
espana,betweenness_adaptive,0.06,0.2294736842105263,,0.0,,0.0006124662776035248,,
espana,betweenness_adaptive,0.07,0.22526315789473683,,0.0,,0.0005249382342865696,,
espana,betweenness_adaptive,0.08,0.21473684210526317,,0.0,,0.0004595160654752072,,
espana,betweenness_adaptive,0.09,0.1631578947368421,,0.0,,0.0003727781899745129,,
espana,betweenness_adaptive,0.1,0.14105263157894737,,0.0,,0.0003267804404887641,,
espana,betweenness_adaptive,0.11,0.14105263157894737,,0.0,,0.0003011855200467092,,
espana,betweenness_adaptive,0.12,0.1031578947368421,,0.0,,0.000255032959503596,,
espana,betweenness_adaptive,0.13,0.1031578947368421,,0.0,,0.00024112305986601014,,
espana,betweenness_adaptive,0.14,0.1031578947368421,,0.0,,0.00021803108167856784,,
espana,betweenness_adaptive,0.15,0.08210526315789474,,0.0,,0.0002009490978562326,,
espana,betweenness_adaptive,0.16,0.08210526315789474,,0.0,,0.00019054381271917426,,
espana,betweenness_adaptive,0.17,0.08,,0.0,,0.00017514608086840986,,
