red,nodo,nombre,cb_unweighted,cb_weighted,rank_unweighted,rank_weighted
espana,Azpeitia,Azpeitia,0.002025954631101805,0.001645080542254116,702,782
espana,Aínsa-Sobrarbe,Aínsa-Sobrarbe,0.005152029513204071,0.005097526599173903,510,615
espana,Añora,Añora,0.012132902346387819,0.020970330750112266,287,304
espana,Badajoz,Badajoz,0.0021623896711903197,0.0003712546629141046,693,850
espana,Badalona,Badalona,0.0011041210396056597,5.557704534642284e-05,805,881
espana,Badia del Vallès,Badia del Vallès,0.0052197453032167005,0.00984602935357227,504,477
espana,Balenyà,Balenyà,0.0026180311683118586,0.006733714814172591,659,558
espana,Balsareny,Balsareny,0.008113896462791122,0.002592113394957161,380,732
espana,Banyoles,Banyoles,0.001659387141706844,0.0072805929403813915,741,543
espana,Barajas de Melo,Barajas de Melo,0.0023586873616778118,0.027784076509583706,676,238
espana,Barañain,Barañain,0.00193416181148632,0.007765224775802199,715,533
espana,Barco de Ávila (El),Barco de Ávila (El),0.0060614430446131315,0.007251692876801252,466,545
espana,Barrax,Barrax,0.007109492071142584,0.011693410340887365,416,451
espana,Baztan,Baztan,9.782609708508724e-05,0.0,907,905
espana,Bañeza (La),Bañeza (La),0.007012683124755509,0.1196507093854068,421,4
espana,Baños de Molgas,Baños de Molgas,0.007079814442550372,0.02404040673504866,417,269
espana,Baños de la Encina,Baños de la Encina,0.021018308234361238,0.009728206017437853,187,481
espana,Belalcázar,Belalcázar,0.01629383178742117,0.025938918604082466,228,256
espana,Belchite,Belchite,0.021430179901844967,0.029409149315513108,182,216
espana,Bellreguard,Bellreguard,0.001552174614292575,0.0022764357773894794,755,750
espana,Bellvei,Bellvei,0.003489587873974824,0.004079355128427436,597,666
espana,Belmonte de Miranda,Belmonte de Miranda,0.00040336740148064936,0.029380249251932968,871,217
espana,Belorado,Belorado,0.041025943373877716,0.015783880878384084,73,385
espana,Benabarre,Benabarre,0.01164296460241198,0.00419940154637571,298,659
espana,Benaguasil,Benaguasil,0.0011408732192471802,0.00015339264515612703,801,871
espana,Benahadux,Benahadux,0.0005605479556718203,0.0014850186516564183,856,798
espana,Benahavís,Benahavís,0.0020006419519525594,0.0037703467563013253,705,679
espana,Benalup-Casas Viejas,Benalup-Casas Viejas,0.0006898178864615112,0.0012427027339460147,843,811
espana,Benamejí,Benamejí,0.01769549085471985,0.007540693512602651,209,536
espana,Benaoján,Benaoján,0.0016145704958632102,0.0049841494266672,750,621
espana,Benasque,Benasque,0.002210748394256656,0.002954475730615838,688,708
espana,Benavente,Benavente,0.019891937034239797,0.11933280868602526,192,5
espana,Benejúzar,Benejúzar,0.0012481228670814283,1.7784654510855308e-05,784,894
espana,Beniel,Beniel,0.0028804964623207843,0.00486854917234664,641,629
espana,Benifairó de la Valldigna,Benifairó de la Valldigna,0.002298887718458327,0.006306883105912064,680,575
espana,Benifaió,Benifaió,0.0031736590589006367,0.0067514994686834464,621,557
espana,Benissanet,Benissanet,0.009318343781156983,0.0026343519494204425,352,729
espana,Berga,Berga,0.0019799944964516963,0.002647690440303584,711,726
espana,Berja,Berja,0.0006733598482811696,0.0013160644338032928,844,806
espana,Berlanga,Berlanga,0.005271015284128943,0.03193457025605456,501,172
espana,Berlanga de Duero,Berlanga de Duero,0.0030270089063658945,0.010041660553191679,628,475
espana,Bermillo de Sayago,Bermillo de Sayago,0.0004675888803757921,0.00252097477691374,868,736
espana,Berriatua,Berriatua,0.0004924010684800343,0.00072027850768964,866,836
espana,Betxí,Betxí,0.00755051409583935,0.07936402075469182,397,23
espana,Bienvenida,Bienvenida,0.002856194416216976,0.01086864698794645,645,467
espana,Bigues i Riells,Bigues i Riells,0.0037458990472984213,0.00015339264515612703,588,871
espana,Binaced,Binaced,0.03790785112582915,0.028677755398754185,81,229
espana,Biota,Biota,0.014460807538013576,0.05582603050957481,251,61
espana,Bisbal d'Empordà (La),Bisbal d'Empordà (La),0.00025344950393829414,6.6692454415707406e-06,884,901
espana,Bisbal del Penedès (La),Bisbal del Penedès (La),0.029894496298563694,0.04628456336450094,111,102
espana,Blanca,Blanca,0.006686050373234432,0.007362846967494098,434,541
espana,Blancos (Os),Blancos (Os),3.784040431723571e-05,6.446937260185049e-05,924,878
espana,Bocairent,Bocairent,0.005934770847639594,0.023000004446163628,476,278
espana,Boimorto,Boimorto,0.005453134136424436,0.004259424755349846,492,656
espana,Bolaños de Calatrava,Bolaños de Calatrava,0.045479037352061595,0.028657747662429473,55,230
espana,Bollullos Par del Condado,Bollullos Par del Condado,0.0037554913634521795,0.0018940657054060902,587,775
espana,Bolo (O),Bolo (O),0.0060227156941609974,0.007367293131121812,468,540
espana,Bonares,Bonares,0.0006494159804870785,0.004094916701124435,846,665
espana,Bonete,Bonete,0.047437941121308565,0.022851057964635213,52,281
espana,Bonillo (El),Bonillo (El),0.026015164600353295,0.014901317398282892,145,400
espana,Bonrepòs i Mirambell,Bonrepòs i Mirambell,0.0069720533807578694,0.002703267485650007,422,719
espana,Boquiñeni,Boquiñeni,0.07413246108793689,0.019916589970344088,16,321
espana,Bornos,Bornos,0.0017436715940573378,0.005179780626286609,727,610
espana,Bosque (El),Bosque (El),0.006465487991407758,0.007516239612650225,447,537
espana,Brea de Aragón,Brea de Aragón,0.05198083468202444,0.05047062641999351,40,81
espana,Briviesca,Briviesca,0.023479157349690426,0.04708709589930329,163,98
espana,Bujaraloz,Bujaraloz,0.027320071019912465,0.03692316584634948,133,139
espana,Bullas,Bullas,0.001092215323680689,0.011806787513394068,807,449
espana,Burgo de Osma-Ciudad de Osma,Burgo de Osma-Ciudad de Osma,0.006307059555300213,0.01225807312160702,451,440
espana,Burgos,Burgos,0.04736132189997056,0.017549007838586476,53,361
espana,Burguillos del Cerro,Burguillos del Cerro,0.007178018127497057,0.0027143828947192913,414,718
espana,Béjar,Béjar,0.0030054369393440264,0.09248464962007531,629,16
espana,Bélmez de la Moraleda,Bélmez de la Moraleda,0.00887020844389506,0.003754785183604327,363,680
espana,Cabana de Bergantiños,Cabana de Bergantiños,9.79877144733765e-06,2.2230818138569135e-06,933,904
espana,Cabezuela del Valle,Cabezuela del Valle,0.06207144802776028,0.00863667284683411,26,509
espana,Cabezón de la Sal,Cabezón de la Sal,0.013056985089076463,0.0002978929630568264,272,856
espana,Cabra del Camp,Cabra del Camp,0.02708744698107384,0.007887494275564328,135,529
espana,Cabranes,Cabranes,0.001879898852326355,0.029633680578712657,717,213
espana,Cadalso de los Vidrios,Cadalso de los Vidrios,0.0014935837520157385,0.03098531432153766,760,187
espana,Calaceite,Calaceite,0.007877037602067427,0.013651945418895306,385,418
espana,Calamocha,Calamocha,0.0006046404847420066,0.03835927669810104,850,132
espana,Calamonte,Calamonte,0.0060642545106925514,0.007187223504199401,465,546
espana,Calanda,Calanda,0.017587691325583656,0.013096174965431077,213,426
