cod,nombre,categoria,tipo_dep,tipo_dep_cod,estado,titular,lat,lon,conectado,n_conexiones
05221,AVILES APD,P,Punto KM,P,EX,AD,43.5546972224242,-5.91744444453471,SI,2
05361,BAIÑA,P,Punto KM,P,EX,AD,43.274458332989,-5.82824999990564,SI,2
05263,BALLOTA,P,Punto KM,P,EX,AD,43.55004722179,-6.3292583327465,SI,2
05483,BALMASEDA V.,P,Estación,E,EX,AD,43.1964416673733,-3.18996944412598,SI,2
05565,BALMORI,P,Punto KM,P,EX,AD,43.4214555556605,-4.83571388933486,SI,2
05273,BARCIA,P,Punto KM,P,EX,AD,43.5467861110194,-6.5081527776225,SI,2
05619,BARREDA,P,Estación,E,EX,AD,43.3740138884022,-4.04208333400074,SI,2
05441,BARREDOS,P,Punto KM,P,EX,AD,43.2598472218644,-5.57501388834199,SI,2
05183,BARREIROS,P,Punto KM,P,EX,AD,43.5474361112021,-7.22530555583861,SI,2
05758,PUENTE ALMUHEY,P,Estación,E,EX,AD,42.7877722220564,-4.97180833314421,SI,2
05412,PUENTE BURACOS,P,Punto KM,P,EX,AD,43.448061110916,-5.71733611133309,SI,2
05623,PUENTE SAN MIGUEL,P,Estación,E,EX,AD,43.3587222221247,-4.08761944443786,SI,2
05226,PUERTO AVILES,S,Estación,E,EX,AD,43.5858722221151,-5.92604999968897,SI,1
05447,PUERTO EL MUSEL,S,Estación,E,EX,AD,43.5671611110074,-5.69171666730714,SI,1
05600,PUERTO RAOS,S,Estación,E,EX,AD,43.444869444992,-3.82979444403793,SI,1
05731,QUINTANA DE LOS PRADOS,P,Punto KM,P,EX,AD,43.0799722226449,-3.51132500030691,SI,2
05224,RAICES,P,Punto KM,P,EX,AD,43.5763611102983,-5.93990277804804,SI,2
05733,REDONDO,P,Punto KM,P,EX,AD,43.0605555551166,-3.61966944451176,SI,2
05213,REGUERAL,P,Estación,E,EX,AD,43.5804666667986,-5.79762500007,SI,2
05185,REINANTE,P,Punto KM,P,EX,AD,43.5498361115817,-7.17426666691676,SI,2
05617,REQUEJADA,P,Estación,E,EX,AD,43.391522222233,-4.02808333385279,SI,2
05519,RIANES,S,Estación,E,EX,AD,43.3791416665541,-5.562469444361,SI,2
05193,RIBADEO,P,Estación,E,EX,AD,43.5359916663108,-7.05590277723372,SI,2
05553,RIBADESELLA,P,Estación,E,EX,AD,43.4593388891521,-5.0546861112714,SI,2
05552,RIBADESELLA PUERTO,P,Punto KM,P,EX,AD,43.4603555551783,-5.06124722264237,SI,1
05235,RIBERAS,P,Punto KM,P,EX,AD,43.5026166672959,-6.07437222232963,SI,2
05191,RINLO,P,Punto KM,P,EX,AD,43.5497388894497,-7.10853333312822,SI,2
05788,ROBLES,P,Punto KM,P,EX,AD,42.840733333136,-5.50734722204628,SI,2
05737,ROBREDO AHEDO,P,Punto KM,P,EX,AD,43.0190194441975,-3.80931111097382,SI,2
05643,ROIZ,P,Punto KM,P,EX,AD,43.3283166658597,-4.34918333255814,SI,2
05313,S.MARIA DE GRADO,P,Estación,E,EX,AD,43.3842277774739,-5.98259444366463,SI,2
05225,SALINAS,P,Punto KM,P,EX,AD,43.5703583333956,-5.95658888903328,SI,2
05748,SALINAS DE PISUERGA,P,Punto KM,P,EX,AD,42.8513388888338,-4.38606111066982,SI,2
05573,SAM ROQUE DEL ACEBAL,P,Punto KM,P,EX,AD,43.3947305548877,-4.72997222192377,SI,2
05429,SAMA LOS LLERONES,P,Fin de línea,F,FS,AD,43.2987916662615,-5.68311944492862,NO,0
05380,SAN ANTONIO,P,Punto KM,P,EX,AD,43.1688083337539,-5.69673333373453,SI,2
05167,SAN CIBRAO,P,Punto KM,P,EX,AD,43.692172222801,-7.44159999987659,SI,2
05304,SAN CLAUDIO,P,Estación,E,EX,AD,43.3552805553812,-5.91771388893514,SI,2
05135,SAN CLODIO,P,Punto KM,P,EX,AD,43.6609694448173,-7.87349722252766,SI,2
05253,SAN COSME,P,Punto KM,P,EX,AD,43.544022221595,-6.24819722316019,SI,2
05269,SAN CRISTOBAL,P,Punto KM,P,EX,AD,43.5472194443602,-6.41511666709883,SI,2
05329,SAN ESTEBAN,P,Estación,E,EX,AD,43.55200833334,-6.08715000093845,SI,1
05776,SAN FELIZ,P,Estación,E,EX,AD,42.6824444446058,-5.53802777759744,SI,2
05436,SAN MARTIN,P,Punto KM,P,EX,AD,43.2783388887648,-5.61533888908912,SI,2
05251,SAN MARTIN DE LUIÑA,P,Punto KM,P,EX,AD,43.5444972223363,-6.22856666626266,SI,2
05306,SAN PEDRO DE NORA,P,Punto KM,P,EX,AD,43.3687638885186,-5.958508333337,SI,2
05627,SAN PEDRO DE RUDAGÜEÑA,P,Estación,E,EX,AD,43.3611083331992,-4.1494388892042,SI,2
05327,SAN RANON,P,Punto KM,P,EX,AD,43.5163500001867,-6.08197777813698,SI,2
05321,SAN ROMAN,P,Estación,E,EX,AD,43.4487722229497,-6.07709722193093,SI,2
05115,SAN SADURNIÑO,P,Estación,E,EX,AD,43.5460972219389,-8.07809444438822,SI,2
05659,SAN SALVADOR,P,Punto KM,P,EX,AD,43.3936916669278,-3.80388055570222,SI,2
05432,SAN VICENTE,P,Punto KM,P,EX,AD,43.2891138886982,-5.65297777786633,SI,2
05645,SAN VICENTE DE LA BARQUERA,P,Estación,E,EX,AD,43.3677388885194,-4.4044999993145,SI,2
05102,SAN XOAN,P,Punto KM,P,EX,AD,43.4945083333882,-8.21416111169344,SI,2
05319,SANDICHE,P,Punto KM,P,EX,AD,43.4255444447875,-6.05993055566145,SI,2
05459,SANTA AGUEDA,P,Estación,E,EX,AD,43.2618611106738,-2.97290277767334,SI,2
05384,SANTA ANA - SOTO,P,Punto KM,P,EX,AD,43.1647638884319,-5.64609722228091,SI,2
16604,GIJON-PUERTO,S,Otro,O,EX,AD,43.5523828771421,-5.68869185177569,SI,3
14224,SANTANDER-PUERTO,S,Garita,G,EX,AD,43.4409612091832,-3.83113706728103,SI,1
B1508,BIF. TORNEROS,S,Bifurcación,B,EX,AD,42.5603437872536,-5.59475497737837,SI,3
B1506,BIF. LEON,S,Bifurcación,B,EX,AD,42.5567031570348,-5.60544760255994,SI,3
20406,A CORUÑA-SAN DIEGO,S,Estación,E,EX,AD,43.3580251797083,-8.39855599323652,SI,2
XX011,CENTRAL LECHERA,S,Otro,O,EX,AD,43.3877119033981,-5.78144298867631,SI,1
XX015,CANTERA LUGONES,S,Otro,O,EX,AD,43.4049742347022,-5.84108874382168,SI,1
56300,HUENEJA-DOLAR,S,Túnel,T,EX,AD,37.2215255757681,-2.94905017898977,SI,2
37610,"KM. 517,6 (FRONTERA)",S,Cargadero,K,EX,AD,38.9202438562454,-7.03015045300568,SI,1
50800,SAN JERONIMO (CGD),S,Fin de línea,F,FS,AD,37.4173531589908,-5.98687353272148,NO,0
65501,PORT DE CASTELLÓ,S,Apeadero,A,EX,AD,39.974180381532,0.0192358639694457,SI,1
65400,TORTOSA,P,Estación,E,EX,AD,40.8072454156363,0.52299880004459,SI,1
B1804,BIF. MUSEO,S,Bifurcación,B,EX,AD,40.390953524213,-3.68620327691627,SI,3
50209,VADOLLANO,S,Túnel,T,EX,AD,38.1356369175519,-3.55790356041131,SI,2
61303,BALSICAS-MAR MENOR,P,Estación,E,EX,AD,37.8187980275253,-0.950954359359199,SI,2
62108,ELX-MERCADERIES (CGD),S,Garita,G,EX,AD,38.2786211580492,-0.655529314093034,SI,2
36002,ALDEA DEL CANO,S,Fin de línea,F,FS,AD,39.2927340262701,-6.3798531393453,NO,0
43021,SAN JUAN DEL PUERTO (APD),P,Punto KM,P,EX,AD,37.3118833581475,-6.84108445612278,SI,2
43018,SAN JUAN DEL PUERTO-MOGUER,S,Apeadero,A,EX,AD,37.3097477082284,-6.847001512349,SI,2
40111,ALANIS (APD),S,Apartadero,Y,FS,AD,37.9964305808302,-5.75821396701224,SI,2
81108,CALAHORRA,P,Estación,E,EX,AD,42.3105667247426,-1.95799069995304,SI,2
72101,RODA DE MAR (APD),P,Punto KM,P,EX,AD,41.18640893274,1.45518077310437,SI,2
79101,CARDEDEU,S,Túnel,T,EX,AD,41.6365309063196,2.35327332707638,SI,2
79102,LLINARS DEL VALLES,S,Túnel,T,EX,AD,41.6380056668382,2.40445422315101,SI,2
79103,PALAUTORDERA (APD),S,Punto KM,P,EX,AD,41.6718853187552,2.45416920399307,SI,2
79106,RIELLS I VIABREA-BREDA,P,Apeadero,A,EX,AD,41.7262778295149,2.56879969068333,SI,2
79107,HOSTALRIC (APD),P,Punto KM,P,EX,AD,41.7477580610797,2.63165103214934,SI,2
79109,L.FRANQUE.-GRANOLL.NORD(APD),S,Punto KM,P,EX,AD,41.6172025673237,2.29446336978348,SI,2
79202,SILS (APD),P,Punto KM,P,EX,AD,41.8076242695253,2.74499839219991,SI,2
79203,CALDES DE MALAVELLA,P,Túnel,T,EX,AD,41.8411169386173,2.80072908181218,SI,2
79204,RIUDELLOTS (APD),P,Punto KM,P,EX,AD,41.8962538522302,2.81161325294102,SI,2
79301,CELRA (APD),P,Punto KM,P,EX,AD,42.0272955148376,2.87508426193687,SI,2
79302,BORDILS-JUIA (APD),P,Punto KM,P,EX,AD,42.0370524007479,2.91532892166809,SI,2
79303,FLAÇA,P,Estación,E,EX,AD,42.0474321380206,2.95739196173139,SI,2
71106,KM.  386.7 (GELSA),S,Cargadero,K,FS,AD,41.3982533550699,-0.476701632152093,SI,2
71109,AZAILA (APD),S,Apartadero,Y,FS,AD,41.2749017013306,-0.485199152002276,SI,2
71203,CHIPRANA,S,Túnel,T,EX,AD,41.2315078702829,-0.155572728137814,SI,2
71205,VAL DE PILAS,P,Túnel,T,EX,AD,41.2293174130765,0.0761032087844099,SI,2
71206,FABARA,P,Túnel,T,EX,AD,41.234236242113,0.142827688911358,SI,2
71207,NONASPE,P,Túnel,T,EX,AD,41.2135088088928,0.24228510103172,SI,2
71209,RIBA-ROJA DEBRE,P,Túnel,T,EX,AD,41.2485578661757,0.481070704476704,SI,2
71211,ASCO,P,Túnel,T,EX,AD,41.1823905778749,0.568984837473097,SI,2
71212,GARCIA,S,Apartadero,Y,FS,AD,41.1394702933171,0.64174976289426,SI,2
71301,ELS GUIAMETS,P,Túnel,T,EX,AD,41.0959136681804,0.747696907842158,SI,2
71302,CAPÇANES (APD),P,Punto KM,P,EX,AD,41.102079447245,0.780339416939987,SI,2
71303,MARÇA-FALSET,P,Túnel,T,EX,AD,41.1308590652861,0.810361830179087,SI,2
71304,PRADELL,P,Túnel,T,EX,AD,41.1333048159024,0.858622314330726,SI,2
71305,DUESAIGÜES-LARGENTERA (APD),P,Punto KM,P,EX,AD,41.1436668825563,0.920861336270135,SI,2
71401,VILA-SECA (APD),P,Punto KM,P,EX,AD,41.1127896090087,1.15033587119736,SI,2
A7300,"CAMB.-AG.KM. 3,1",S,Fin de línea,F,FS,AD,41.5988916540006,0.654346374797457,NO,0
60116,SAN MARTIN DE LA VEGA,S,Fin de línea,F,FS,AD,40.2190775709076,-3.56727476110654,NO,0
61005,HELLIN,P,Apeadero,A,EX,AD,38.5087729362095,-1.68856247789235,SI,2
61009,CALASPARRA,P,Fin de línea,F,FS,AD,38.2692279969448,-1.67991690725412,NO,0
63002,RIBERA DE MOLINA (CGD),S,Fin de línea,F,FS,AD,38.0298073541496,-1.20851983862837,NO,0
61101,MURCIA MERCANCIAS,S,Estación,E,EX,AD,37.9696283447106,-1.1949649519068,SI,3
61200,MURCIA DEL CARMEN,P,Estación,E,EX,AV,37.9748025640736,-1.13155516643653,SI,2
A6131,"AGUJA KM. 523,2",S,Bifurcación,B,EX,AD,37.6146635374137,-0.973347531106095,SI,3
61307,CARTAGENA,P,Estación,E,EX,AD,37.6050486335589,-0.975008412660182,SI,2
19003,ALCOBENDAS S.SEBASTIAN DE LOS REYES,S,Túnel,T,EX,AD,40.5466233354409,-3.63501169702338,SI,1
98304,VALDEBEBAS (APD),S,Punto KM,P,EX,AD,40.4820029822147,-3.60958622889636,SI,2
50200,SANTA CRUZ DE MUDELA,P,Túnel,T,EX,AD,38.6446245317634,-3.45152386324577,SI,2
50203,VENTA DE CARDENAS,S,Túnel,T,EX,AD,38.4357203626934,-3.4960342069974,SI,2
50300,LINARES-BAEZA,P,Estación,E,EX,AD,38.0691270268194,-3.58931712254604,SI,3
50403,ANDUJAR,P,Estación,E,EX,AD,38.0281846709414,-4.06605264136354,SI,2
50406,LOS SILES,S,Túnel,T,EX,AD,38.0083461497911,-4.231668074497,SI,2
61020,BLANCA-ABARAN CONTENEDORES,S,Apartadero,Y,FS,AD,38.2253581388683,-1.32874782662518,SI,2
16007,EXPLOSIVOS RIO TINTO,S,Apartadero,Y,FS,AD,43.3105781545752,-5.70073099779403,SI,2
