cod,nombre,categoria,tipo_dep,lat,lon,vecino_cod,vecino_nombre,vecino_cat,vecino_tipo_dep,vecino_lat,vecino_lon,dist_km,tipo_red,linea
B0109,BIF. TOCON,S,Bifurcación,37.2322563402231,-3.98397710103415,C5442,KM 86.520,S,Cargadero,37.232504046527,-3.98196925595885,0.2,Uso resto viaj. Interciud,464-BIF. TOCON-BIF. LA CHANA
B0109,BIF. TOCON,S,Bifurcación,37.2322563402231,-3.98397710103415,02035,ILLORA,S,Estación,37.2324092450409,-3.95973756713345,2.1,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
B0109,BIF. TOCON,S,Bifurcación,37.2322563402231,-3.98397710103415,05010,VILLANUEVA-MESIA,S,Apartadero,37.2183436335233,-4.01561027933387,3.2,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
B0110,BIF. LA CHANA,S,Bifurcación,37.1989996124326,-3.65396670141648,05001,SAN ISIDRO,S,Apartadero,37.1938284989202,-3.64185051265369,0.5,Uso resto viaj. Interciud,464-BIF. TOCON-BIF. LA CHANA
B0110,BIF. LA CHANA,S,Bifurcación,37.1989996124326,-3.65396670141648,05000,GRANADA,P,Estación,37.1839998855654,-3.60913612993463,4.3,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
B0110,BIF. LA CHANA,S,Bifurcación,37.1989996124326,-3.65396670141648,02035,ILLORA,S,Estación,37.2324092450409,-3.95973756713345,29.2,Uso viaj. Interciud V>160,036-ANTEQUERA-SANTA ANA-GRANADA
B0200,BIF. MALAGA-A. V.,S,Bifurcación,37.8398989930179,-4.94163870664446,60299,ALMODOVAR,S,Estación,37.8223117306607,-4.98298286987722,4.2,Uso principal Alta Vel.,010-MADRID-P. DE ATOCHA ALMUDENA GRANDES-SEVILLA-S. JUSTA
B0200,BIF. MALAGA-A. V.,S,Bifurcación,37.8398989930179,-4.94163870664446,02000,LA MAROTA,S,Estación,37.7911891661266,-4.99946426108633,7.7,Uso principal Alta Vel.,030-BIF. MALAGA-A.V.-MARIA ZAMBRANO
B0200,BIF. MALAGA-A. V.,S,Bifurcación,37.8398989930179,-4.94163870664446,50500,CORDOBA,P,Estación,37.8885052149397,-4.7895053632869,14.3,Uso principal Alta Vel.,010-MADRID-P. DE ATOCHA ALMUDENA GRANDES-SEVILLA-S. JUSTA
B0201,BIF. GOBANTES,S,Bifurcación,37.0121381153891,-4.72277864445528,02003,ANTEQUERA-SANTA ANA,P,Estación,37.0714488148423,-4.72019156371666,6.7,Uso principal Alta Vel.,030-BIF. MALAGA-A.V.-MARIA ZAMBRANO
B0201,BIF. GOBANTES,S,Bifurcación,37.0121381153891,-4.72277864445528,B0105,BIF. BOBADILLA,S,Bifurcación,37.0437052187723,-4.64168497589416,8.6,Uso principal Alta Vel.,014-BIF. GOBANTES-BIF. BOBADILLA
B0201,BIF. GOBANTES,S,Bifurcación,37.0121381153891,-4.72277864445528,02004,ALORA-A. V.,S,Estación,36.8583341121583,-4.69162887462075,18.1,Uso principal Alta Vel.,030-BIF. MALAGA-A.V.-MARIA ZAMBRANO
B0320,BIF. ALBACETE,S,Bifurcación,39.6087603794236,-1.9575818508424,Z1300,BASE DE MONTAJE GABALDON,S,Zona técnica,39.6351106918245,-1.94549784134847,3.1,Uso principal Alta Vel.,040-MADRID-CHAMARTIN-CLARA CAMPOAMOR - VALENCIA-JOAQUIM SOROLLA
B0320,BIF. ALBACETE,S,Bifurcación,39.6087603794236,-1.9575818508424,03300,POZORRUBIELOS,S,Estación,39.4841279284796,-1.98554586487074,14.1,Uso principal Alta Vel.,042-BIF. ALBACETE - ALACANT-TERMINAL
B0320,BIF. ALBACETE,S,Bifurcación,39.6087603794236,-1.9575818508424,03210,INIESTA,S,Estación,39.523275767838,-1.80829120904746,18.8,Uso principal Alta Vel.,040-MADRID-CHAMARTIN-CLARA CAMPOAMOR - VALENCIA-JOAQUIM SOROLLA
B0321,BIF. XATIVA,S,Bifurcación,39.4462478851584,-0.417086656273646,B0323,BIF. JESUS,S,Bifurcación,39.4520687894442,-0.382171348670135,3.6,Uso principal Alta Vel.,040-MADRID-CHAMARTIN-CLARA CAMPOAMOR - VALENCIA-JOAQUIM SOROLLA
B0321,BIF. XATIVA,S,Bifurcación,39.4462478851584,-0.417086656273646,03215,CHIVA-A. V.,S,Estación,39.4732022403259,-0.629256452753867,19.1,Uso principal Alta Vel.,040-MADRID-CHAMARTIN-CLARA CAMPOAMOR - VALENCIA-JOAQUIM SOROLLA
B0323,BIF. JESUS,S,Bifurcación,39.4520687894442,-0.382171348670135,A0320,"BIF. JESUS-AGUJA KM. 396,7",S,Bifurcación,39.4543779004877,-0.381402179211209,0.4,Uso principal Alta Vel.,040-MADRID-CHAMARTIN-CLARA CAMPOAMOR - VALENCIA-JOAQUIM SOROLLA
B0323,BIF. JESUS,S,Bifurcación,39.4520687894442,-0.382171348670135,A6422,BIF. JOAQUIN SOROLLA-UIC,S,Bifurcación,39.4474087037683,-0.382979699056541,0.5,Uso principal Alta Vel.,044-BIF. JOAQUIN SOROLLA-UIC - BIF. JESUS
B0323,BIF. JESUS,S,Bifurcación,39.4520687894442,-0.382171348670135,B0321,BIF. XATIVA,S,Bifurcación,39.4462478851584,-0.417086656273646,3.6,Uso principal Alta Vel.,040-MADRID-CHAMARTIN-CLARA CAMPOAMOR - VALENCIA-JOAQUIM SOROLLA
B0331,BIF LA OLIVA,S,Bifurcación,38.7985475381422,-0.970977049467218,03307,LAS CHOZAS,S,Estación,38.8206335151248,-0.979566857996772,2.4,Uso principal Alta Vel.,042-BIF. ALBACETE - ALACANT-TERMINAL
B0331,BIF LA OLIVA,S,Bifurcación,38.7985475381422,-0.970977049467218,B0332,BIF AGUAVERDE,S,Bifurcación,38.7258060112957,-0.934406084380085,8.6,Uso principal Alta Vel.,042-BIF. ALBACETE - ALACANT-TERMINAL
B0332,BIF AGUAVERDE,S,Bifurcación,38.7258060112957,-0.934406084380085,03308,CAUDETE A.V.,S,Estación,38.6679537652468,-0.92531833310495,6.7,Uso principal Alta Vel.,042-BIF. ALBACETE - ALACANT-TERMINAL
B0332,BIF AGUAVERDE,S,Bifurcación,38.7258060112957,-0.934406084380085,B0331,BIF LA OLIVA,S,Bifurcación,38.7985475381422,-0.970977049467218,8.6,Uso principal Alta Vel.,042-BIF. ALBACETE - ALACANT-TERMINAL
B0333,BIF MURCIA,S,Bifurcación,38.4026798944309,-0.736781209477992,Z1301,BASE DE MONTAJE DE MONFORTE DEL CID,S,Zona técnica,38.4012035461803,-0.731364102851533,0.4,Uso principal Alta Vel.,042-BIF. ALBACETE - ALACANT-TERMINAL
B0333,BIF MURCIA,S,Bifurcación,38.4026798944309,-0.736781209477992,B0340,BIF VINALOPO,S,Bifurcación,38.3941831388271,-0.714736400014994,2.7,Uso principal Alta Vel.,"046-BIF. MURCIA - EL REGUERON AG KM 522,1"
B0333,BIF MURCIA,S,Bifurcación,38.4026798944309,-0.736781209477992,03309,VILLENA A.V.,P,Estación,38.5860550336058,-0.874860467010072,25.8,Uso principal Alta Vel.,042-BIF. ALBACETE - ALACANT-TERMINAL
B0340,BIF VINALOPO,S,Bifurcación,38.3941831388271,-0.714736400014994,03310,MONFORTE DEL CID A.V.,S,Estación,38.4056692364421,-0.704746493771731,2.1,Uso principal Alta Vel.,048-BIF. VINALOPO - MONFORTE DEL CID A.V.
B0340,BIF VINALOPO,S,Bifurcación,38.3941831388271,-0.714736400014994,B0333,BIF MURCIA,S,Bifurcación,38.4026798944309,-0.736781209477992,2.7,Uso principal Alta Vel.,"046-BIF. MURCIA - EL REGUERON AG KM 522,1"
B0340,BIF VINALOPO,S,Bifurcación,38.3941831388271,-0.714736400014994,03410,ELX AV,P,Estación,38.2460232703091,-0.766968551170944,18.7,Uso principal Alta Vel.,"046-BIF. MURCIA - EL REGUERON AG KM 522,1"
B0740,BIFURCACIÓN MEDINA,S,Bifurcación,41.2735378599489,-4.68082438720637,08007,OLMEDO-A.V.,S,Estación,41.26840787649,-4.67258339798808,0.8,Uso principal Alta Vel.,080-MADRID-CHAMARTIN-CLARA CAMPOAMOR-BURGOS-ROSA MANZANO
B0740,BIFURCACIÓN MEDINA,S,Bifurcación,41.2735378599489,-4.68082438720637,08008,HORNILLOS,S,Estación,41.3530856315775,-4.7599788790524,11.1,Uso principal Alta Vel.,080-MADRID-CHAMARTIN-CLARA CAMPOAMOR-BURGOS-ROSA MANZANO
B0740,BIFURCACIÓN MEDINA,S,Bifurcación,41.2735378599489,-4.68082438720637,08240,MEDINA DEL CAMPO AV,P,Estación,41.2910686684686,-4.92355867243617,21.6,Uso principal Alta Vel.,"982-BIFURCACIÓN MEDINA - TABOADELA AG. KM. 234,0"
B0800,RIO DUERO,S,Estación,41.5500891222893,-4.76109485401178,A8014,PINAR DE ANTEQUERA,S,Apartadero,41.5925010541571,-4.75173330577787,4.8,Uso principal Alta Vel.,080-MADRID-CHAMARTIN-CLARA CAMPOAMOR-BURGOS-ROSA MANZANO
B0800,RIO DUERO,S,Estación,41.5500891222893,-4.76109485401178,B0802,BIF. CAMBIADOR VALDESTILLAS,S,Bifurcación,41.4758771082847,-4.78479188277868,8.5,Uso principal Alta Vel.,080-MADRID-CHAMARTIN-CLARA CAMPOAMOR-BURGOS-ROSA MANZANO
B0801,KM 250,S,Cargadero,41.6501797348455,-4.71108962368671,10610,VALLADOLID UNIVERSIDAD (APD),P,Punto KM,41.6602319472237,-4.70410365631526,1.3,Uso resto viaj. Interciud,"100-MADRID-CHAMARTIN-CLARA CAMPOAMOR-P.K. 641,181 (FRONTERA)"
B0801,KM 250,S,Cargadero,41.6501797348455,-4.71108962368671,10600,VALLADOLID-CAMPO GRANDE,P,Estación,41.6421695017322,-4.72696681398984,1.6,Uso resto viaj. Interciud,"100-MADRID-CHAMARTIN-CLARA CAMPOAMOR-P.K. 641,181 (FRONTERA)"
